Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,1,Sachkontenbuchung,09:30:32
X,,X,,,0,,,,,,,,,H,,,,,,,,,,70000,,,,,50,,,70000,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,2,Sachkontenbuchung,09:30:32
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,1000,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,1,Sachkontenbuchung,09:30:40
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,2,Sachkontenbuchung,09:30:40
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,2000,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,1,Sachkontenbuchung,09:30:40
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,2,Sachkontenbuchung,09:30:40
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,11000,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,1,Sachkontenbuchung,09:30:41
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,2,Sachkontenbuchung,09:30:41
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,1,Sachkontenbuchung,09:30:41
X,,X,,,0,,,,,,,,,H,,,,,,X,,,,113101,,,,,50,,,113101,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,2,Sachkontenbuchung,09:30:41
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R01,V,,BSX,RMWE,WE01,26208,26208,0,14400,26208,0,14400,14400,14400,0,NonFraud,5000000000,1,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R01,V,,WRX,RMWE,WE01,26208,26208,0,14400,26208,0,14400,14400,14400,0,NonFraud,5000000000,2,Sachkontenbuchung,09:33:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R02,V,,BSX,RMWE,WE01,57600,57600,0,14400,57600,0,14400,14400,14400,0,NonFraud,5000000000,3,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R02,V,,WRX,RMWE,WE01,57600,57600,0,14400,57600,0,14400,14400,14400,0,NonFraud,5000000000,4,Sachkontenbuchung,09:33:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R03,V,,BSX,RMWE,WE01,57888,57888,0,14400,57888,0,14400,14400,14400,0,NonFraud,5000000000,5,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R03,V,,WRX,RMWE,WE01,57888,57888,0,14400,57888,0,14400,14400,14400,0,NonFraud,5000000000,6,Sachkontenbuchung,09:33:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R04,V,,BSX,RMWE,WE01,5136,5136,0,4800,5136,0,4800,4800,4800,0,NonFraud,5000000000,7,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R04,V,,WRX,RMWE,WE01,5136,5136,0,4800,5136,0,4800,4800,4800,0,NonFraud,5000000000,8,Sachkontenbuchung,09:33:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R05,V,,BSX,RMWE,WE01,55440,55440,0,56000,55440,0,56000,56000,56000,0,NonFraud,5000000000,9,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R05,V,,WRX,RMWE,WE01,55440,55440,0,56000,55440,0,56000,56000,56000,0,NonFraud,5000000000,10,Sachkontenbuchung,09:33:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R06,V,,BSX,RMWE,WE01,51520,51520,0,56000,51520,0,56000,56000,56000,0,NonFraud,5000000000,11,Materialzugang,09:33:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R06,V,,WRX,RMWE,WE01,51520,51520,0,56000,51520,0,56000,56000,56000,0,NonFraud,5000000000,12,Sachkontenbuchung,09:33:16
X,,X,,,0,,,,,,,,,H,,XI,,,X,X,,1,R,160000,,,,,31,,,160000,K,,V01,,,160000,KBS,RMRP,,253792,,0,,,0,0,0,0,253792,NonFraud,5100000000,1,Kreditorische Rechnung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R01,V,,WRX,RMRP,RE01,26208,26208,0,14400,26208,0,14400,14400,14400,0,NonFraud,5100000000,2,Sachkontenbuchung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R02,V,,WRX,RMRP,RE01,57600,57600,0,14400,57600,0,14400,14400,14400,0,NonFraud,5100000000,3,Sachkontenbuchung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R03,V,,WRX,RMRP,RE01,57888,57888,0,14400,57888,0,14400,14400,14400,0,NonFraud,5100000000,4,Sachkontenbuchung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R04,V,,WRX,RMRP,RE01,5136,5136,0,4800,5136,0,4800,4800,4800,0,NonFraud,5100000000,5,Sachkontenbuchung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R05,V,,WRX,RMRP,RE01,55440,55440,0,56000,55440,0,56000,56000,56000,0,NonFraud,5100000000,6,Sachkontenbuchung,09:33:24
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R06,V,,WRX,RMRP,RE01,51520,51520,0,56000,51520,0,56000,56000,56000,0,NonFraud,5100000000,7,Sachkontenbuchung,09:33:24
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P01,V,,BSX,RMWE,WE01,26880,26880,0,96000,26880,0,96000,96000,96000,0,NonFraud,5000000001,1,Materialzugang,09:33:25
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P01,V,,WRX,RMWE,WE01,26880,26880,0,96000,26880,0,96000,96000,96000,0,NonFraud,5000000001,2,Sachkontenbuchung,09:33:25
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P02,V,,BSX,RMWE,WE01,11520,11520,0,96000,11520,0,96000,96000,96000,0,NonFraud,5000000001,3,Materialzugang,09:33:25
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P02,V,,WRX,RMWE,WE01,11520,11520,0,96000,11520,0,96000,96000,96000,0,NonFraud,5000000001,4,Sachkontenbuchung,09:33:25
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P03,V,,BSX,RMWE,WE01,26880,26880,0,128000,26880,0,128000,128000,128000,0,NonFraud,5000000001,5,Materialzugang,09:33:25
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P03,V,,WRX,RMWE,WE01,26880,26880,0,128000,26880,0,128000,128000,128000,0,NonFraud,5000000001,6,Sachkontenbuchung,09:33:25
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P04,V,,BSX,RMWE,WE01,11520,11520,0,128000,11520,0,128000,128000,128000,0,NonFraud,5000000001,7,Materialzugang,09:33:25
