Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,1,Sachkontenbuchung,10:28:20
X,,X,,,0,,,,,,,,,H,,,,,,,,,,70000,,,,,50,,,70000,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,2,Sachkontenbuchung,10:28:20
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,1000,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,1,Sachkontenbuchung,10:28:23
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,2,Sachkontenbuchung,10:28:23
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,2000,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,1,Sachkontenbuchung,10:28:23
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,2,Sachkontenbuchung,10:28:23
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,11000,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,1,Sachkontenbuchung,10:28:23
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,2,Sachkontenbuchung,10:28:23
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,1,Sachkontenbuchung,10:28:23
X,,X,,,0,,,,,,,,,H,,,,,,X,,,,113101,,,,,50,,,113101,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,2,Sachkontenbuchung,10:28:23
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R01,V,,BSX,RMWE,WE01,11648,11648,0,6400,11648,0,6400,6400,6400,0,NonFraud,5000000000,1,Materialzugang,10:31:24
