Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300.0,,,,,40,,,113300,S,,,,,,,RFBU,,20000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000000,1,Sachkontenbuchung,09:21:41
X,,X,,,0,,,,,,,,,H,,,,,,,,,,70000.0,,,,,50,,,70000,S,,,,,,,RFBU,,20000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000000,2,Sachkontenbuchung,09:21:41
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,1000,S,,,,,,,RFBU,,500000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000001,1,Sachkontenbuchung,09:21:51
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300.0,,,,,50,,,113300,S,,,,,,,RFBU,,500000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000001,2,Sachkontenbuchung,09:21:51
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,2000,S,,,,,,,RFBU,,1500000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000002,1,Sachkontenbuchung,09:21:51
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300.0,,,,,50,,,113300,S,,,,,,,RFBU,,1500000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000002,2,Sachkontenbuchung,09:21:51
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,11000,S,,,,,,,RFBU,,24000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000003,1,Sachkontenbuchung,09:21:51
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300.0,,,,,50,,,113300,S,,,,,,,RFBU,,24000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000003,2,Sachkontenbuchung,09:21:51
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300.0,,,,,40,,,113300,S,,,,,,,RFBU,,8000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000004,1,Sachkontenbuchung,09:21:51
X,,X,,,0,,,,,,,,,H,,,,,,X,,,,113101.0,,,,,50,,,113101,S,,,,,,,RFBU,,8000000.0,,0.0,,,0.0,0,0,0,0.0,NonFraud,100000004,2,Sachkontenbuchung,09:21:51
X,3000.0,,,,0,X,X,,,0.0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0.0,KG,89,M,KG,300000,M,,V01,AA-R01,V,,BSX,RMWE,WE01,8736.0,8736.0,0.0,4800.0,8736.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,1,Materialzugang,09:51:58
X,3000.0,X,,,0,X,X,,,0.0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100.0,KG,KG,0.0,KG,96,W,KG,191100,S,,V01,AA-R01,V,,WRX,RMWE,WE01,8736.0,8736.0,0.0,4800.0,8736.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,2,Sachkontenbuchung,09:51:58
X,3000.0,,,,0,X,X,,,0.0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0.0,KG,89,M,KG,300000,M,,V01,AA-R02,V,,BSX,RMWE,WE01,19200.0,19200.0,0.0,4800.0,19200.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,3,Materialzugang,09:51:58
X,3000.0,X,,,0,X,X,,,0.0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100.0,KG,KG,0.0,KG,96,W,KG,191100,S,,V01,AA-R02,V,,WRX,RMWE,WE01,19200.0,19200.0,0.0,4800.0,19200.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,4,Sachkontenbuchung,09:51:58
X,3000.0,,,,0,X,X,,,0.0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0.0,KG,89,M,KG,300000,M,,V01,AA-R03,V,,BSX,RMWE,WE01,19296.0,19296.0,0.0,4800.0,19296.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,5,Materialzugang,09:51:58
X,3000.0,X,,,0,X,X,,,0.0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100.0,KG,KG,0.0,KG,96,W,KG,191100,S,,V01,AA-R03,V,,WRX,RMWE,WE01,19296.0,19296.0,0.0,4800.0,19296.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,6,Sachkontenbuchung,09:51:58
X,3000.0,,,,0,X,X,,,0.0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0.0,KG,89,M,KG,300000,M,,V01,AA-R04,V,,BSX,RMWE,WE01,5136.0,5136.0,0.0,4800.0,5136.0,0.0,4800,4800,4800,0.0,NonFraud,5000000000,7,Materialzugang,09:51:58
